,Title,Director,Cast,Genre,Date,Year
2849,Vignesh,Marella Seenu,"Bhagawan, Seema, Jahnavi, Brahmaji, Jayaprakash Reddy",Romance,22/APR/2004,2004
2850,Seshadri Naidu,Suresh Varma,"Srihari, Nanditha, Swathi, Jayaram, Jai Varma",Action,23/APR/2004,2004
2851,Pedababu,Paruchuri Murali,"Jagapati Babu, Kalyani, Sarath Babu, K. Vishwanath, Kota Srinivasa Rao",Action,30/APR/2004,2004
2852,Dost,Muppalaneni Siva,"Siva Balaji, Karthik, Neha, Suhasini, K. Vishwanath, Brahmanandam",Drama / Romance,30/APR/2004,2004
2853,Arya,Sukumar,"Allu Arjun, Anuradha Mehta, Siva Balaji",Romance,7/MAY/2004,2004
2854,Naani,S. J. Suryah,"Mahesh Babu, Amisha Patel, Devayani, Raghuvaran",Romance / Comedy,14/MAY/2004,2004
2855,Adavi Ramudu,B. Gopal,"Prabhas, Aarti Agarwal, Nassar, Seema",Action / Romance,21/MAY/2004,2004
2856,Oka Pellam Muddu Rendo Pellam Vaddu,Teja,"Rajendra Prasad, Raasi, Gurleen Chopra, Surya, Rama Prabha",Comedy,28/MAY/2004,2004
2857,Aithe Enti,Soma Vijay Prakash,"Namitha, Steven Kapoor, Mohit, Radhika Chowdary",Romance,28/MAY/2004,2004
2858,Kala,C. Manohar,"Raja, Nayana Harshita, Ramachandra Reddy",Romance,4/JUN/2004,2004
2859,Megham,Sunil Kumar Reddy,"Raghu, Tanu Roy",Romance,4/JUN/2004,2004
2860,Samba,V. V. Vinayak,"Jr. NTR, Genelia D'Souza, Bhoomika Chawla, Prakash Raj",Action,9/JUN/2004,2004
2861,Andaru Dongale Dorikite,Nidhi Prasad,"Rajendra Prasad, Prabhu Deva, Ankitha, Kiran Rathod",Comedy,18/JUN/2004,2004
2862,Nenu Saitham,Dhavala Satyam,"Madala Ravi, Madala Ranga Rao, Gurleen Chopra, Chandra Mohan",Drama,18/JUN/2004,2004
2863,Bhadradri Ramudu,Suresh Krissna,"Taraka Rathna, Vanisri, Chalapathi Rao, Sudhakar, Radhika",Action,25/JUN/2004,2004
2864,5va Tarikhu,Suresh Charan,"Sharwanand, Revathy",Thriller,25/JUN/2004,2004
2865,Mystery,D. Ranga Rao,"Suman, Jyotsna",Thriller,25/JUN/2004,2004
2866,Xtra,Veeru K.,"Santhosh Pawan, Ruthika, Naveen, Pooja, Jayalalitha",Romance,25/JUN/2004,2004
2867,Koduku,M. S. Narayana,"Vikram, Aditi Agarwal, Mounika, Suman, Ponnambalam",Comedy,25/JUN/2004,2004
2868,Yagnam,A. S. Ravikumar Chowdhary,"Gopichand, Sameera Bannerjee, Prakash Raj",Action,2/JUL/2004,2004
2869,Santhi Sandesam,P. C. Reddy,"Krishna, Ramyasri, Suman, Vinod Kumar, Ravali",Drama,9/JUL/2004,2004
2870,KD No.1,Raviraja Pinisetty,"Srihari, Ramya Krishna",Action,9/JUL/2004,2004
2871,Swamy,V. R. Pratap,"Nandamuri Harikrishna, Meena, Aamani, Uma, Rajiv Kanakala",Action / Drama,16/JUL/2004,2004
2872,Ammayi Bagundi,Bala Sekharan,"Sivaji, Meera Jasmine",Romance,16/JUL/2004,2004
2873,Sivaram,Rajkumar,"Sai Kumar, Devayani, Devan, Rami Reddy, Jeeva",Action,16/JUL/2004,2004
2874,Sri Anjaneyam,Krishna Vamsi,"Arjun, Nithiin, Charmme",Fantasy,23/JUL/2004,2004
2875,Gharshana,Gautham Vasudev Menon,"Venkatesh, Asin, Daniel Balaji",Crime,30/JUL/2004,2004
2876,Pallakilo Pellikoothuru,Suchitra Chandrabose,"Gowtham, Rathi, Brahmanandam",Romance,30/JUL/2004,2004
2877,Donga Dongadi,Subramanyam Siva,"Manoj Manchu, Sadha, Varshitha, Sunil, Siva Reddy",Comedy,6/AUG/2004,2004
2878,Naa Autograph,S. Gopal Reddy,"Ravi Teja, Bhoomika Chawla, Gopika, Mallika",Drama,11/AUG/2004,2004
2879,Intlo Srimathi Veedhilo Kumari,K. Vasu,"Aarti Chabria, Srikanth, Prabhudeva, Prakash Raj, Brahmanandam",Comedy,13/AUG/2004,2004
2880,Valliddaru Okkate,J. Srinivasa Rao,"T. Kishore, Renuka Menon",Romance,13/AUG/2004,2004
2881,Arjun,Gunasekhar,"Mahesh Babu, Keerthi Reddy, Shriya Saran, Prakash Raj",,18/AUG/2004,2004
2882,Shivashankar,Kapuganti Rajendra,"Mohan Babu, Soundarya, Natanya Singh, Raza Murad, Riyaz Khan",Action,25/AUG/2004,2004
2883,143 (and I miss You),Puri Jagannadh,"Sairam Shankar, Samiksha, Flora",Romance,27/AUG/2004,2004
2884,Madhyanam Hathya,Ram Gopal Verma,"J. D. Chakravarthy, Aamani, Priyanka, Venkat, Bhanuchander, Brahmaji",Thriller,3/SEP/2004,2004
2885,Gowri,B. V. Ramana,"Sumanth, Charmme, Atul Kulkarni",Action/Crime,3/SEP/2004,2004
2886,Gudumba Shankar,Veera Shankar,"Pawan Kalyan, Meera Jasmine",Romance/Comedy,10/SEP/2004,2004
2887,Soggadi Saradalu,Nimmagadda Babu,"Santosh Pavan, Haritha, Satyam Rajesh, Chitram Basha, Brahmanandam",Romance,18/SEP/2004,2004
2888,Sye,S. S. Rajamouli,"Nithiin, Genelia D'Souza, Pradeep Rawat",Sports,23/SEP/2004,2004
2889,Cheppave Chirugali,Vikraman,"Venu Thottempudi, Ashima Bhalla, Abhirami, Kiran Rathod",Romance,23/SEP/2004,2004
2890,Letha Manasulu,S. V. Krishna Reddy,"Srikanth, Kalyani, Gopika, Raghunatha Reddy",Romance,1/OCT/2004,2004
2891,Satruvu,P. A. Arun Prasad,"Vadde Naveen, Navneet Kaur",Romance/action,8/OCT/2004,2004
2892,Anand,Sekhar Kammula,"Raja, Kamalinee Mukherjee",Romance/Drama,15/OCT/2004,2004
2893,Shankar Dada M.B.B.S.,Jayanth C. Paranjee,"Chiranjeevi, Srikanth, Sonali Bendre, Paresh Rawal",Comedy,15/OCT/2004,2004
2894,Mr & Mrs Sailaja Krishnamurthy,Siva Nageswara Rao,"Sivaji, Laila, Tanikella Bharani, Banerjee",Romance/drama,22/OCT/2004,2004
2895,Aaptudu,Muthyala Subbaiah,"Rajasekhar, Anjala Zhaveri, Mukesh Rishi",Action,23/OCT/2004,2004
2896,Apparao Driving School,Anji Seenu,"Rajendra Prasad, Malavika, Preeti Jhangiani, Suman, Brahmanandam",Comedy,4/NOV/2004,2004
2897,Swarabhishekam,K. Viswanath,"K. Vishwanath, Srikanth, Laya, Urvashi",Drama,5/NOV/2004,2004
2898,7G Brindhavan Colony,Sri Raghava,"Ravi Krishna, Sonia Agarwal, Suman Setty, Chandra Mohan",Romance,6/NOV/2004,2004
2899,Chanti,Sobhan,"Ravi Teja, Charmme",Action,12/NOV/2004,2004
2900,Yuvasena,Jayaraj,"Bharath, Gopika, Sharwanand",Romance,12/NOV/2004,2004
2901,Naalo,Samuthirakani,"SPB Charan, Babloo Prithviraj, Pooja Bharathi",Romance,19/NOV/2004,2004
2902,Kaani,Abhinav,"Sai Kiran, Meera",Horror,26/NOV/2004,2004
2903,Suryam,V. Samudra,"Vishnu Manchu, Celina Jaitley",Action,2/DEC/2004,2004
2904,Sakhiya,Jayanth C. Paranjee,"Tarun, Nauheed Cyrusi",Romance,2/DEC/2004,2004
2905,No,Pappu,"Nandamuri Taraka Ratna, Chaya Singh, Neha, Keerti Chawla, Tanu Roy, Ashish Vidyarthi",Romance,3/DEC/2004,2004
2906,Konchem Touchlo Vunte Cheputanu,Vamsi,"Sivaji, Veda Shastry, Prakash Raj, M. S. Narayana, Brahmanandam",Comedy,4/DEC/2004,2004
2907,Leela Mahal Center,Devi Prasad,"Aryan Rajesh, Sadha",Romance,4/DEC/2004,2004
2908,Vidyardhi,Balachari,"Ramesh, Aditi Agarwal",Romance,9/DEC/2004,2004
2909,Aa Naluguru,Chandra Sidhartha,"Rajendra Prasad, Amani",Drama,9/DEC/2004,2004
2910,Gangamma Jatara,R. Narayana Murthy,"R. Narayana Murthy, Neelima Rao",Drama,9/DEC/2004,2004
2911,Vijayendra Varma,Swarna Subba Rao,"Nandamuri Balakrishna, Laya, Ankitha",Action,15/DEC/2004,2004
2912,Mass,Raghava Lawrence,"Nagarjuna, Jyothika, Charmme",Action,23/DEC/2004,2004
2913,Pelli Kaani Pellam Avuthundi,Venkata Ganesh,"Venu Madhav, Mumtaj, Radhika Chowdhary",Romance,1/JAN/2005,2005
2914,Balu,A. Karunakaran,"Pawan Kalyan, Shriya Saran, Neha Oberoi, Gulshan Grover, Milind Gunaji",Action / Romance,6/JAN/2005,2005
2915,Bucchi Babu,T. Raju,"Krishnudu, Bobby, Abhinayasri",Romance,6/JAN/2005,2005
2916,Nuvvostanante Nenoddantana,Prabhu Deva,"Siddharth, Trisha Krishnan, Srihari",Romance/Drama,14/JAN/2005,2005
2917,Naa Alludu,Vara Mullapudi,"Jr. NTR, Shriya Saran, Genelia D'Souza",Drama,14/JAN/2005,2005
2918,Dhana 51,R. Soorya Kiran,"Sumanth, Saloni Aswani",Action,14/JAN/2005,2005
2919,Evadi Gola Vaadidi,E. V. V. Satyanarayana,"Aryan Rajesh, Deepika Chikhalia, Brahmanandam",Comedy,21/JAN/2005,2005
2920,786 O Khaidi Prema Katha,K S Nageswara Rao,"Sashikanth, Poonam Bhartke, Yana Sheik, Bramhanandam",Romance,4/FEB/2005,2005
2921,Keelu Gurram,Kodi Ramakrishna,"Rohit, Baladitya, Nakul, Rajesh, Tanu Roy",Romance,4/FEB/2005,2005
2922,Pandem,Sabhapati,"Jagapati Babu, Kalyani, Ramaraju, M. S. Narayana",Drama/comedy,5/FEB/2005,2005
2923,Evaru Nenu,Ramana Maharshi,Krishna,Drama,10/FEB/2005,2005
2924,Orey Pandu,Tejas Dhanraj,"Sachiin Joshi, Sandali Sinha, Bhanupriya",Romance,11/FEB/2005,2005
2925,Dhairyam,Teja,"Nitin, Raima Sen, Tanikella Bharani",Action,12/FEB/2005,2005
2926,Manasu Maata Vinadhu,V. N. Aditya,"Navdeep, Ankitha, Sandeep, Tanikella Bharani",Romance,12/FEB/2005,2005
2927,Sankranti,Muppulaneni Siva,"Venkatesh, Sneha, Siva Balaji, Sharwanand, Srikanth, Sangeetha",Drama,18/FEB/2005,2005
2928,Thanks,Manraj,"Vineeth, Rashmi Gautam",Romance,18/FEB/2005,2005
2929,Sravanamasam,Posani Krishna Murali,"Krishna, Nandamuri Harikrishna, Karthikeya, Nagababu, Suman, Vijaya Nirmala, Gajala, Kalyani, Keerti Chawla",Family,26/FEB/2005,2005
2930,Slokam,Bharath,"Sai Kumar, Ambika, Madhu Sharma, K. Vishwanath",Drama,3/MAR/2005,2005
2931,Okkade Kaani Iddaru,,Sanghavi,Thriller,5/MAR/2005,2005
2932,Prayatnam,P Sunil Kumar Reddy,"Babloo Prithviraj, Sujitha, Tanu Roy",Romance,5/MAR/2005,2005
2933,Swami Shankar,Madhusudhan Rao,"Dinesh, Sriram, Brahmanandam",Drama,11/MAR/2005,2005
2934,Chakram,Krishna Vamsi,"Prabhas, Asin Thottumkal, Charmme",Action / Drama,25/MAR/2005,2005
2935,Soggadu,Ravi Babu,"Tarun, Aarti Agarwal",Romance/Drama,31/MAR/2005,2005
2936,Andagadu,,Rajendra Prasad,,1/APR/2005,2005
2937,Bunny,V. V. Vinayak,"Allu Arjun, Gowri Munjal, Prakash Raj",Action,6/APR/2005,2005
2938,Avunanna Kaadanna,Teja,"Uday Kiran, Sadha",Romance,6/APR/2005,2005
2939,Muddula Mogudu Allari Pellam,Ramachandrudu,Ali,Comedy,15/APR/2005,2005
2940,Ayodhya,Kodi Ramakrishna,"Krishna, Suman, Vadde Naveen",Drama,21/APR/2005,2005
2941,Subash Chandra Bose,K. Raghavendra Rao,"Venkatesh, Genelia D'Souza, Shriya Saran, Prakash Raj",Patriotism,22/APR/2005,2005
2942,Hungama,S. V. Krishna Reddy,Venu Madhav,Comedy,28/APR/2005,2005
2943,Mr. Errababu,K Kishore,"Sivaji, Roma, Nagendra Babu, Sunil, Satyanarayana, Venu Madhav",Comedy,28/APR/2005,2005
2944,10 The Strangers,Rajesh Touchriver,"Nagababu, Jyothirmayee, Nassar, Brahmaji, Sherry",Drama / Romance,28/APR/2005,2005
2945,Naa Praanam Kante Ekkuva,Sashi Preetham,"Neeraj, Madhu Shalini, Vamsi Varma, Jeevan Sekhar",Romance,6/MAY/2005,2005
2946,Athanokkade,Surender Reddy,"Kalyan Ram, Sindhu Tolani, Ashish Vidyarthi, Brahmanandam",Action,7/MAY/2005,2005
2947,Bhadra,Boyapati Srinu,"Ravi Teja, Meera Jasmine, Prakash Raj, Pradeep Rawat",Action,12/MAY/2005,2005
2948,Kumkuma,Jyothindranath Vemuri,"Siva Balaji, Jayant, Seema, Ranganath, Sivaji Raja",Romance,12/MAY/2005,2005
2949,Narasimhudu,B. Gopal,"Jr. NTR, Ameesha Patel, Sameera Reddy",Action,20/MAY/2005,2005
2950,Andarivadu,Srinu Vaitla,"Chiranjeevi, Tabu, Rimi Sen",Action,4/JUN/2005,2005
2951,Meghamala O Pellam Gola,Sanjay,"Santhosh Pawan, Tanu Roy",Comedy,10/JUN/2005,2005
2952,Kadante Avunanile,O S Avinash,"Vamsi Krishna, Naveena, Suman, Chandra Mohan, Giribabu, Brahmanandam",Romance,10/JUN/2005,2005
2953,Jagapathi,Jonnalagadda Srinivasa Rao,"Jagapati Babu, Rakshita, Sai Kiran, Navneet Kaur, Pradeep Rawat",Masala,24/JUN/2005,2005
2954,Anna Sainyam,,"Lakshmi Parvathi, Vinod Kumar, Koteswara Prasad, Gokina Rama Rao",Drama,24/JUN/2005,2005
2955,Devi Abhayam,Srinivasa Reddy,"Sai Kiran, Raasi, Prema, Prabhakar",Fantasy,24/JUN/2005,2005
2956,Anukokunda Oka Roju,Chandra Sekhar Yeleti,"Jagapathi Babu, Charmme, Shashank",Thriller,30/JUN/2005,2005
2957,Guru,B Jaffer,"Akash, Pranathi",Drama,30/JUN/2005,2005
2958,Oka Oorilo,Ramesh Verma,"Raja, Tarun, Saloni Aswani",Romance,1/JUL/2005,2005
2959,Naa Oopiri,Kanmani,"Vadde Naveen, Sangeetha, Anjana, Sudha, M. S. Narayana",Romance,1/JUL/2005,2005
2960,Nireekshana,N. Seetharam,"Aryan Rajesh, Sridevi Vijayakumar, Nagendra Prasad",Romance,1/JUL/2005,2005
2961,A Film by Aravind,Shekkar Suri,"Rajiv Kanakala, Ghazal Srinivas, Richard Rishi, Sherlyn Chopra",Thriller,9/JUL/2005,2005
2962,Kanchanamala Cable TV,Parthasaradhi,"Srikanth, Lakshmi Rai, Raghu Babu, Brahmanandam",Comedy,15/JUL/2005,2005
2963,Super,Puri Jagannadh,"Nagarjuna, Sonu Sood, Anushka Shetty, Ayesha Takia",Action,21/JUL/2005,2005
2964,Siva,,"Pradeep, Saina",Romance,21/JUL/2005,2005
2965,Rendella Tharuvatha,K B Anand,"Sreeram, Gopichand Lagadapati",Drama,29/JUL/2005,2005
2966,Premikulu,Jaya,"Yuvaraj, Rishi Girish, Kamna Jethmalani, Rajiv Kanakala, Rambabu",Romance,4/AUG/2005,2005
2967,Nikkis Engagement,Rafi,"Surya, Vamsi, Rekha",Romance,5/AUG/2005,2005
2968,Athadu,Trivikram Srinivas,"Mahesh Babu, Trisha, Sonu Sood, Prakash Raj, Sayaji Shinde, Kota Srinivasa Rao, Nassar, Sunil, Rahul Dev, Brahmanandam",Action,10/AUG/2005,2005
2969,Nuvvante Naakishtam,E. V. V. Satyanarayana,"Aryan Rajesh, Allari Naresh, Anuradha Mehta",Romance,12/AUG/2005,2005
2970,Andhrudu,Paruchuri Murali,"Gopichand, Gowri Pandit, Sayaji Shinde",Romance/Action,19/AUG/2005,2005
2971,Please Naaku Pellaindi,Gandhi,"Raghu, Rajiv Kanakala, Sruthi Malhotra, Soni Charishma, Venu Madhav",Comedy,19/AUG/2005,2005
2972,Adirindayya Chandram,Srinivasa Reddy,"Sivaji, Laya",Romance,20/AUG/2005,2005
2973,123 from Amalapuram,Varma,"Ravi Prakash, Raja Sridhar, Anil, Nithya Das, Dharmavarapu Subramanyam",Romance,25/AUG/2005,2005
2974,Okkade,Chandra Mahesh,"Srihari, Santhoshi, Mukesh Rishi",Action,1/SEP/2005,2005
2975,Mogudu Pellam O Dongodu,Venky,"Shriya Saran, Raja, Brahmanandam",Romance / Comedy,7/SEP/2005,2005
2976,Atanu + Ame = 9,,,,7/SEP/2005,2005
2977,Veeri Veeri Gummadi Pandu,Nimmagadda Babu,"Ali, Sreekar Babu, Jayalalitha, Rajiv Kanakala",Romance,9/SEP/2005,2005
2978,Allari Bullodu,K. Raghavendra Rao,"Nitin, Trisha Krishnan, Rathi",Romance,15/SEP/2005,2005
2979,Nayakudu,Kodi Ramakrishna,"Rajasekhar, Namitha",Action,15/SEP/2005,2005
2980,Good Boy,G Nageswara Reddy,"Rohith, Navneet Kaur",Romance,22/SEP/2005,2005
2981,Political Rowdy,Adi,"Mohan Babu, Charmy Kaur, Prakash Raj, Abbas",Action,29/SEP/2005,2005
2982,Chhatrapati,S. S. Rajamouli,"Prabhas, Shriya Saran, Bhanupriya",Action,30/SEP/2005,2005
2983,Allari Pidugu,Jayanth C. Paranjee,"Nandamuri Balakrishna, Charmy Kaur, Katrina Kaif",Action,5/OCT/2005,2005
2984,Bhageeratha,Rasool Ellore,"Ravi Teja, Shriya Saran, Prakash Raj",Family,13/OCT/2005,2005
2985,Modati Cinema,Venkat Kuchipudi,"Navdeep, Poonam Bajwa, Brahmanandam",Romance,21/OCT/2005,2005
2986,Vamsham,,"Nagababu, Chandramohan, Baladitya",Family Drama,21/OCT/2005,2005
2987,Bhama Kalapam,K.V.V. Satyanarayana,"Aditya Om, Meghna Naidu, Pooja Bharati",Romance,28/OCT/2005,2005
2988,Moguds Pellams,Ranganath,"Sivaji Raja, Karthik, Rathi, Harika, Chandra Mohan, M. S. Narayana",Comedy,29/OCT/2005,2005
2989,Abhimaani,Sana Yadi Reddy,"Nakuul Mehta, Swetha Malhotra",Romance,11/NOV/2005,2005
2990,Meenakshi,T Prabhakar,"Rajiv Kanakala, Kamalinee Mukherjee, Amit, Preethi Nigam",Romance,18/NOV/2005,2005
2991,Ayinda Leda,Bharath,"Ali, Raksha, Kota Srinivasa Rao, Mallikarjuna Rao, Brahmanandam",Comedy,18/NOV/2005,2005
2992,Seenugadu Chiranjeevi Fan,Posala Radhakrishna,"Akula Vijay Vardhan, Venu Madhav, M. S. Narayana",Drama,23/NOV/2005,2005
2993,Vennela,Deva Kaushik,"Raja, Parvati Melton",Romance/Comedy,26/NOV/2005,2005
2994,Sri,Dasaradh,"Manoj Manchu, Tamanna",Action,2/DEC/2005,2005
2995,Mukha Chitram,S Babu,"Srirambaji, Haripriya",Romance,2/DEC/2005,2005
2996,Mahanandi,V. Samudra,"Sumanth, Srihari, Anushka Shetty",Action,3/DEC/2005,2005
2997,Kaaki,Bobbili Bhanu,"Brahmaji, Gurleen Chopra",Action,9/DEC/2005,2005
2998,Yuvakulu,Sai Venkat,"Kiran Tej, Sangeetha Tiwari, Abhinayasri",Romance,10/DEC/2005,2005
2999,Pourusham,,,Action,10/DEC/2005,2005
3000,Venkat Tho Alivelu,P Balaji,"Dilip, Sanjana, M. S. Narayana, Omkar, Anil",Romance,16/DEC/2005,2005
3001,Jai Chiranjeeva,K. Vijaya Bhaskar,"Chiranjeevi, Sameera Reddy, Bhoomika Chawla, Arbaaz Khan",Comedy,21/DEC/2005,2005
3002,Alex,Rajesh Touchriver,"Haranath, Rambha, Sangeetha, Shiju, Kousha, Indu Anand",Drama,24/DEC/2005,2005
3003,Gowtam SSC,P A Arun Prasad,"Navdeep, Sindhu Tolani, K. Vishwanath, Bhanupriya",Romance / Drama,30/DEC/2005,2005
3004,Maha Simham,Akkumurthy Babu Rao,"Mukkuraju, Rallapalli, Kallu Chidambaram, Swathi, Susheela",Drama,30/DEC/2005,2005
3005,Devadasu,YVS Chowdary,"Ram, Ileana D'Cruz",Romance,11.0/J A N/2006,2006
3006,Style,Raghava Lawrence,"Raghava Lawrence, Prabhu Deva, Raja, Charmme, Kamalini Mukherjee",Drama,12.0/J A N/2006,2006
3007,Chukkallo Chandrudu,Sivakumar Ananth,"Siddharth Narayan, Charmme, Sada",Romance,14.0/J A N/2006,2006
3008,Lakshmi,V. V. Vinayak,"Venkatesh Daggubati, Nayanthara, Charmy Kaur",Action,14.0/J A N/2006,2006
3009,Happy,A. Karunakaran,"Allu Arjun, Genelia D'Souza",Romance,27.0/J A N/2006,2006
3010,Shock,Harish Shankar,"Ravi Teja, Jyothika",Crime,9.0/FEB/2006,2006
3011,Asadhyudu,Anil Krishna,Kalyan Ram,Action,16.0/FEB/2006,2006
3012,Hope,Satish Kasetty,"D. Ramanaidu, Kalyani",Drama,18.0/FEB/2006,2006
3013,Rajababu,Muppalaneni Shiva,"Rajasekar, Brahmanandam, Kondavalasa Lakshmana Rao",Drama,24.0/FEB/2006,2006
3014,Pothe Poni,Tammareddy Bharadwaja,"Sindhu Tolani, Siva Balaji",Drama,7.0/MAR/2006,2006
3015,Sambhavami Yuge Yuge,Ravi Varma,"Anji, Srijana, Jack",Drama,10.0/MAR/2006,2006
3016,Party,Ravi Babu,"Allari Naresh, Madhu Sharma, Shashank, Bramhanandam, Ravi Babu",Comedy,24.0/MAR/2006,2006
3017,Raam,N. Shankar,"Nithiin, Genelia D'Souza",Action,30.0/MAR/2006,2006
3018,Sri Ramadasu,K. Raghavendra Rao,"Nagarjuna, Sneha, Suman, Veda Sastry",Drama,30.0/MAR/2006,2006
3019,10th Class,Chandu,"Bharat, Saranya, Sunaina",Romance,7.0/APR/2006,2006
3020,Pournami,Prabhu Deva,"Prabhas, Trisha Krishnan, Charmme",Romance,20.0/APR/2006,2006
3021,Premanthe Inte,BV Ramana,"Navdeep, Poonam Bajwa",Romance,14.0/APR/2006,2006
3022,Sarada Saradaga,S. V. Krishna Reddy,"Srikanth, Rajendra Prasad, Sindhu Tolani",Comedy,25.0/APR/2006,2006
3023,Pokiri,Puri Jagannadh,"Mahesh Babu, Ileana D'Cruz, Prakash Raj",Action,28.0/APR/2006,2006
3024,Veerabhadra,A.S. Ravi Kumar,"Nandamuri Balakrishna, Tanushree Dutta, Sada",Drama,29.0/APR/2006,2006
3025,Bangaram,Dharani,"Pawan Kalyan, Reema Sen, Meera Chopra, Mukesh Rishi",Action,3.0/MAY/2006,2006
3026,Manodu,Priyadarshini Ram,"Priyadarshini Ram, Viswendar Reddy, Radhika Joshi",Drama,4.0/MAY/2006,2006
3027,Kithakithalu,E. V. V. Satyanarayana,Allari Naresh,Comedy,5.0/MAY/2006,2006
3028,Evandoi Srivaru,Satti Babu,"Srikanth, Sneha",Drama,12.0/MAY/2006,2006
3029,Godavari,Sekhar Kammula,"Sumanth, Kamalinee Mukherjee",Drama,19.0/MAY/2006,2006
3030,Oka V Chitram,Teja,"Krishna Bhagavaan, Tanikella Bharani, Telangana Shakuntala",Comedy,19.0/MAY/2006,2006
3031,Sri Krishna 2006,V. Vijayendra Prasad,"Srikanth, Venu, Brahmanandam",Comedy,26.0/MAY/2006,2006
3032,Kokila,Konda,"Rajiv Kanakala, Raja, Saloni Aswani, Siva Balaji",Drama,13.0/JUN/2006,2006
3033,Vikramarkudu,S. S. Rajamouli,"Ravi Teja, Anushka Shetty",Action,23.0/JUN/2006,2006
3034,Astram,Suresh Krishna,"Vishnu Manchu, Anushka Shetty, Jackie Shroff, Rahul Dev",Action,30.0/JUN/2006,2006
3035,Nandanavanam 120 km,Neelakanta,"Ajay, Kota Srinivasa Rao",Thriller,7.0/JUL/2006,2006
3036,Ashok,Surender Reddy,"Jr. NTR, Sameera Reddy, Prakash Raj, Sonu Sood",Action,13.0/JUL/2006,2006
3037,Kittu,B. Satya,Animated Film,Cartoon,21.0/JUL/2006,2006
3038,Valliddari Vayasu Padahare,Bhanu Shankar,"Tarun Chandra, Devaki",Romance[2],21.0/JUL/2006,2006
3039,Amma Cheppindi,Gangaraju Gunnam,"Suhasini, Sharwanand, Shriya Reddy",Drama,28.0/JUL/2006,2006
3040,Bommarillu,Bhaskar,"Siddharth, Genelia D'Souza, Prakash Raj, Jayasudha",Drama,9.0/AUG/2006,2006
3041,Game,G. Ram Prasad,"Mohan Babu, Vishnu, Shobana, Parvati Melton",Action,4.0/AUG/2006,2006
3042,Veedhi,V Dorairaj,"Sharwanand, Gopika",Action,4.0/AUG/2006,2006
3043,Andala Ramudu,P. Lakshmi Narayana,"Sunil, Arti Agarwal",Drama,18.0/AUG/2006,2006
3044,Photo,Siva Nageswara Rao,"Anand, Anjali, Mukta",Thriller,1.0/SEP/2006,2006
3045,Seetha Ramudu,Shyam Prasad,"Sivaji, Ankita, Rahul Dev",Action,2.0/SEP/2006,2006
3046,Maa Idhari Madhya,Ramesh Maddineni,"Bharat, Vidisha, Brahmanandam",Romance,8.0/SEP/2006,2006
3047,Aganthakudu,Anil Kishore,"Siva Balaji, Nikita Thukral, Madhu Shalini",Thriller,9.0/SEP/2006,2006
3048,Stalin,A. R. Murugadoss,"Chiranjeevi, Trisha Krishnan, Khushbu",Action,20.0/SEP/2006,2006
3049,Vanaja,Rajnesh Domalpalli,"Indira Amperiani, Bhaskara S. Narayanan",Drama,21.0/SEP/2006,2006
3050,"Boss, I Love You",V. N. Aditya,"Nagarjuna, Shriya saran, Nayantara, Poonam Bajwa",Romance,27.0/SEP/2006,2006
3051,Chinnodu,Kanmani,"Sumanth, Charmme",Action,27.0/OCT/2006,2006
3052,Indian Beauty,Shantikumar,"Gopichand Lagadapati, Sairao, Collin Mcgee",Romance,27.0/OCT/2006,2006
3053,Tata Birla Madhyalo Laila,Srinivasa Reddy,"Sivaji, Krishna Bhagavaan, Ali",Comedy,12.0/OCT/2006,2006
3054,Maayajaalam,S. V. Krishna Reddy,"Srikanth, Venu Madhav, Ali",Comedy,19.0/OCT/2006,2006
3055,Raraju,Udayasankar,"Gopichand, Meera Jasmine",Drama,20.0/OCT/2006,2006
3056,Samanyudu,C. Ravi Kumar,Jagapati Babu,Action,20.0/OCT/2006,2006
3057,Bhagyalakshmi Bumper Draw,Nidhi Prasad,Rajendra Prasad,Comedy,16.0/NOV/2006,2006
3058,Gopi – Goda Meeda Pilli,Janardhana Maharshi,"Allari Naresh, Jagapathi Babu",Action,16.0/NOV/2006,2006
3059,Mayabazar,Mohan Krishna Indraganti,"Raja, Bhoomika Chawla, S. P. Balasubrahmanyam",Fantasy,16.0/NOV/2006,2006
3060,Sainikudu,Gunasekhar,"Mahesh Babu, Irfan Khan, Trisha",Action,16.0/NOV/2006,2006
3061,Aadi Lakshmi,Y. Suresh,"Srikanth, Vadde Naveen",Thriller,8.0/DEC/2006,2006
3062,Pellaina Kothalo,Madan,"Jagapati Babu, Priyamani",Romance,8.0/DEC/2006,2006
3063,Khatarnak,Amma Rajasekar,"Ravi Teja, Ileana D'Cruz",Comedy,14.0/DEC/2006,2006
3064,Aakhari Pagi,K. Ramana Rao,"Aditya Om, Tanu Roy",Thriller,15.0/DEC/2006,2006
3065,Rakhi,Krishna Vamsi,"Jr. NTR, Charmy Kaur, Ileana D'Cruz",Drama,22.0/DEC/2006,2006
3066,Abhaddam,K. Balachander,"Uday Kiran, Vimala Raman",Drama,23.0/DEC/2006,2006
3067,Annavaram,Bhimaneni Srinivasa Rao,"Pawan Kalyan, Asin, Sandhya",Action,29.0/DEC/2006,2006
3068,Chinuku,,,,nan/nan/2006,2006
3069,Chendrika,,,,nan/nan/2006,2006
3070,Srinu C/O Anu,,,,nan/nan/2006,2006
